file_name,sent,annotate1,annotate2
snowdrop.emmood,"It was the middle of winter, when the broad flakes of snow were falling around, that the queen of a country many thousand miles off sat working at her window.",N:N,N:N
snowdrop.emmood,"The frame of the window was made of fine black ebony, and as she sat looking out upon the snow, she pricked her finger, and three drops of blood fell upon it.",Sa:N,S:N
snowdrop.emmood,"Then she gazed thoughtfully upon the red drops that sprinkled the white snow, and said, ""Would that my little daughter may be as white as that snow, as red as that blood, and as black as this ebony windowframe!""",Sa:N,S:N
snowdrop.emmood,"And so the little girl really did grow up; her skin was as white as snow, her cheeks as rosy as the blood, and her hair as black as ebony; and she was called Snowdrop.",N:N,N:H
snowdrop.emmood,"But this queen died; and the king soon married another wife, who became queen, and was very beautiful, but so vain that she could not bear to think that anyone could be handsomer than she was.",H:N,S:F
snowdrop.emmood,"She had a fairy looking-glass, to which she used to go, and then she would gaze upon herself in it, and say:",N:N,N:F
snowdrop.emmood,"""Tell me, glass, tell me true!",N:N,N:N
snowdrop.emmood,"Of all the ladies in the land, Who is fairest, tell me, who?""",N:N,N:N
snowdrop.emmood,And the glass had always answered:,N:N,N:N
snowdrop.emmood,"""Thou, queen, art the fairest in all the land.""",H:N,N:N
snowdrop.emmood,"But Snowdrop grew more and more beautiful; and when she was seven years old she was as bright as the day, and fairer than the queen herself.",H:N,N:N
snowdrop.emmood,"Then the glass one day answered the queen, when she went to look in it as usual:",N:N,N:N
snowdrop.emmood,"""Thou, queen, art fair, and beauteous to see, But Snowdrop is lovelier far than thee!""",A:N,A:N
snowdrop.emmood,"When she heard this she turned pale with rage and envy, and called to one of her servants, and said, ""Take Snowdrop away into the wide wood, that I may never see her any more.""",A:A,A:A
snowdrop.emmood,"Then the servant led her away; but his heart melted when Snowdrop begged him to spare her life, and he said, ""I will not hurt you, thou pretty child.""",Sa:N,S:H
snowdrop.emmood,"So he left her by herself; and though he thought it most likely that the wild beasts would tear her in pieces, he felt as if a great weight were taken off his heart when he had made up his mind not to kill her but to leave her to her fate, with the chance of someone finding and saving her.",F:N,S:N
snowdrop.emmood,"Then poor Snowdrop wandered along through the wood in great fear; and the wild beasts roared about her, but none did her any harm.",F:F,S:F
snowdrop.emmood,"In the evening she came to a cottage among the hills, and went in to rest, for her little feet would carry her no further.",F:N,F:N
snowdrop.emmood,"Everything was spruce and neat in the cottage: on the table was spread a white cloth, and there were seven little plates, seven little loaves, and seven little glasses with wine in them; and seven knives and forks laid in order; and by the wall stood seven little beds.",N:N,N:N
snowdrop.emmood,"As she was very hungry, she picked a little piece of each loaf and drank a very little wine out of each glass; and after that she thought she would lie down and rest.",N:N,N:N
snowdrop.emmood,"So she tried all the little beds; but one was too long, and another was too short, till at last the seventh suited her: and there she laid herself down and went to sleep.",H:N,H:N
snowdrop.emmood,By and by in came the masters of the cottage.,F:N,F:N
snowdrop.emmood,"Now they were seven little dwarfs, that lived among the mountains, and dug and searched for gold.",N:N,F:N
snowdrop.emmood,"They lighted up their seven lamps, and saw at once that all was not right.",F:N,F:-
snowdrop.emmood,"The first said, ""Who has been sitting on my stool?""",A:A,A:A
snowdrop.emmood,"The second, ""Who has been eating off my plate?""",A:A,A:A
snowdrop.emmood,"The third, ""Who has been picking my bread?""",A:A,A:A
snowdrop.emmood,"The fourth, ""Who has been meddling with my spoon?""",A:A,A:A
snowdrop.emmood,"The fifth, ""Who has been handling my fork?""",A:A,A:A
snowdrop.emmood,"The sixth, ""Who has been cutting with my knife?""",A:A,A:A
snowdrop.emmood,"The seventh, ""Who has been drinking my wine?""",A:A,A:A
snowdrop.emmood,"Then the first looked round and said, ""Who has been lying on my bed?""",A:A,A:A
snowdrop.emmood,"And the rest came running to him, and everyone cried out that somebody had been upon his bed.",A:A,A:A
snowdrop.emmood,"But the seventh saw Snowdrop, and called all his brethren to come and see her; and they cried out with wonder and astonishment and brought their lamps to look at her, and said, ""Good heavens! what a lovely child she is!""",Su+:Su+,H:+
snowdrop.emmood,"And they were very glad to see her, and took care not to wake her; and the seventh dwarf slept an hour with each of the other dwarfs in turn, till the night was gone.",H:H,H:H
snowdrop.emmood,"In the morning Snowdrop told them all her story; and they pitied her, and said if she would keep all things in order, and cook and wash and knit and spin for them, she might stay where she was, and they would take good care of her.",Sa:Sa,H:H
